material_id,formula,density,energy_above_hull,formation_energy_per_atom,magnetic_ordering,total_magnetization,magnetization_per_volume,magnetization_per_formula_unit,volume,nsites,crystal_system,space_group,is_stable,density_atomic,composition,elements,nelements,avg_atomic_weight,cell_mass,magnetic_performance_index
mp-676241,FeCl3,2.2004131029313423,0.02585396250000027,-1.1403293462499997,FM,10.0035196,0.04086169673223589,5.0017598,244.81410220315692,8,Triclinic,P1,False,30.601762775394615,"{'Fe': 2.0, 'Cl': 6.0}","[Element Cl, Element Fe]",2,0.07190478271077204,0.5752382616861763,17.390219438249854
mp-29861,K2Mn3S4,2.768036403358025,0.010000870555554542,-1.2335747530220291,FM,30.000002,0.06734777766794979,15.000001,445.4490265129674,18,Monoclinic,P2/c,False,24.7471681396093,"{'K': 4.0, 'Mn': 6.0, 'S': 8.0}","[Element K, Element Mn, Element S]",3,0.11185265270524508,2.0133477486944114,14.900556557829614
mp-1209522,Rb2Mn3Te4,4.413167639408943,0.0,-0.6617980239399728,FM,30.0000001,0.047113499567496206,15.00000005,636.7601722521399,18,Orthorhombic,Ibam,True,35.37556512511888,"{'Rb': 4.0, 'Mn': 6.0, 'Te': 8.0}","[Element Mn, Element Rb, Element Te]",3,0.12475186258650935,2.245533526557168,13.359854014736415
mp-1105776,Rb2Mn3S4,3.291250149606398,0.0,-1.0059562826436772,FM,30.0000011,0.06407313539404129,15.00000055,468.2149689648238,18,Orthorhombic,Ibam,True,26.01194272026799,"{'Rb': 4.0, 'Mn': 6.0, 'S': 8.0}","[Element Mn, Element Rb, Element S]",3,0.12652842523145807,2.2775116541662452,13.172271169335659
mp-1221743,Mn3CdTe4,4.891237503729441,0.03296542840248051,-0.5696872495285525,FM,15.0014373,0.05610259597841581,15.0014373,267.39292609153875,8,Trigonal,R3m,False,33.424115761442344,"{'Mn': 3.0, 'Cd': 1.0, 'Te': 4.0}","[Element Cd, Element Mn, Element Te]",3,0.14633857597429437,1.170708607794355,12.813980524379241
mp-1226192,Cs2Mn3S4,3.6872487790036743,0.033946020555555734,-1.2372880649664748,FM,15.0024429,0.059606392889737236,15.0024429,251.69184331875672,9,Orthorhombic,C222,False,27.965760368750747,"{'Cs': 2.0, 'Mn': 3.0, 'S': 4.0}","[Element Cs, Element Mn, Element S]",3,0.1318486867649716,1.1866381808847444,12.64281155087589
mp-2206907,O2,1.4519990146879609,0.027979431250000353,0.027979431250000353,FM,8.0000008,0.054652945204516926,2.0000002,146.3782193267568,8,Monoclinic,C2/m,False,18.2972774158446,{'O': 8.0},[Element O],1,0.07935601465115223,0.6348481172092179,12.60144053851475
mp-1182789,FeCl3,2.644786969679667,0.002252536874999933,-1.163930771875,FM,120.5795802,0.04933357231126392,5.024149175,2444.1688398159863,96,Trigonal,P-3,False,25.460092081416523,"{'Fe': 24.0, 'Cl': 72.0}","[Element Cl, Element Fe]",2,0.10387970951645195,9.972452113579386,12.091266904737303
mp-2739215,O2,1.484854151939616,0.012019398749999688,0.012019398749999688,FM,8.0000002,0.05588960164254773,2.00000005,143.13933119733935,8,Monoclinic,C2/c,False,17.892416399667418,{'O': 8.0},[Element O],1,0.08298790497449055,0.6639032397959244,12.049949029408415
mp-1221924,Mn2CrI6,4.714487451519743,0.03696329061728587,-0.6481920106513412,FM,13.9979932,0.04304362056311421,13.9979932,325.2048274952836,9,Monoclinic,C2/m,False,36.133869721698176,"{'Mn': 2.0, 'Cr': 1.0, 'I': 6.0}","[Element Cr, Element I, Element Mn]",3,0.13047280813902754,1.174255273251248,11.920741187086787
mp-1087546,O2,1.5032489357054872,0.017992666249999623,0.017992666249999623,FM,8.0000001,0.05658197677274663,2.000000025,141.38778028436244,8,Monoclinic,C2/c,False,17.673472535545304,{'O': 8.0},[Element O],1,0.08505679530053403,0.6804543624042723,11.756850337079669
mp-1221335,Na2Mn3Te4,4.353382038742393,0.03206895975095847,-0.7608406028544058,FM,15.0022261,0.05453577398778779,15.0022261,275.08963388617997,9,Monoclinic,Cm,False,30.56551487624222,"{'Na': 2.0, 'Mn': 3.0, 'Te': 4.0}","[Element Mn, Element Na, Element Te]",3,0.14242789811880985,1.2818510830692886,11.703563930435964
mp-567499,CsMn4Cl9,3.148784742986545,0.00018040666666685468,-1.6235769336699508,FM,40.0000018,0.05645808591091767,20.0000009,708.490221632982,28,Tetragonal,I4_1/a,False,25.303222201177928,"{'Cs': 2.0, 'Mn': 8.0, 'Cl': 18.0}","[Element Cl, Element Cs, Element Mn]",3,0.12444204607427277,3.4843772900796375,11.479813599372235
mp-28079,Na2Mn2S3,2.7449836938702585,0.0,-1.2203426292718587,FM,39.9999997,0.0655847523232552,9.999999925,609.8978540446009,28,Monoclinic,C2/c,True,21.782066215878604,"{'Na': 8.0, 'Mn': 8.0, 'S': 12.0}","[Element Mn, Element Na, Element S]",3,0.1260203539308512,3.5285699100638337,11.336037182065176
mp-611836,O2,1.5367838254758417,0.009970109999999366,0.009970109999999366,FM,2.0000002,0.057844228098852216,2.0000002,34.575622594221905,2,Monoclinic,C2/m,False,17.287811297110952,{'O': 2.0},[Element O],1,0.08889406525004474,0.1777881305000895,11.24934602987455
mp-28435,KFeCl4,2.2323058675125975,0.0,-1.6327487432916665,FM,19.9999997,0.028390620902149825,4.999999925,704.4579887467532,24,Monoclinic,P2_1,True,29.352416197781384,"{'K': 4.0, 'Fe': 4.0, 'Cl': 16.0}","[Element Cl, Element Fe, Element K]",3,0.07605186068741174,1.8252446564978817,10.957435009493047
mp-29770,Na3(Mn2Te3)2,4.261654048620134,0.021151446584880773,-0.7578427641662262,FM,18.9997882,0.04624926077004077,18.9997882,410.8127975162716,13,Monoclinic,C2/m,False,31.600984424328583,"{'Na': 3.0, 'Mn': 4.0, 'Te': 6.0}","[Element Mn, Element Na, Element Te]",3,0.13485826869808598,1.7531574930751177,10.837467982795722
mp-568396,Ba(FeBr4)2,3.412129526483804,0.0,-1.3798732248863634,FM,79.9948207,0.023132020361442216,9.9993525875,3458.185642674774,88,Orthorhombic,Pbca,True,39.29756412130425,"{'Ba': 8.0, 'Fe': 16.0, 'Br': 64.0}","[Element Ba, Element Br, Element Fe]",3,0.08682801600504288,7.640865408443773,10.469340372309041
mp-504968,RbFeCl4,2.519760200637921,0.0,-1.6494488291666667,FM,20.0000012,0.02679799068147992,5.0000003,746.3246568639937,24,Orthorhombic,Pnma,True,31.096860702666405,"{'Rb': 4.0, 'Fe': 4.0, 'Cl': 16.0}","[Element Cl, Element Fe, Element Rb]",3,0.08102940758974632,1.9447057821539118,10.284332665401166
mp-987178,RbMnAs,3.641085585523577,0.03959967943965559,-0.2387717826436789,FM,6.769385,0.034466852143516385,3.3846925,196.4027632060214,6,Tetragonal,P4/nmm,False,32.73379386767024,"{'Rb': 2.0, 'Mn': 2.0, 'As': 2.0}","[Element As, Element Mn, Element Rb]",3,0.11123322888397978,0.6673993733038787,10.142929812008948
mp-27570,CsFeCl4,2.757318314394526,0.0,-1.6800993574425291,FM,20.0000005,0.025116221324640815,5.000000125,796.2981469819492,24,Orthorhombic,Pnma,True,33.17908945758122,"{'Cs': 4.0, 'Fe': 4.0, 'Cl': 16.0}","[Element Cl, Element Cs, Element Fe]",3,0.0831040983785797,1.9944983610859128,10.027584324065785
mp-29745,Na2Mn2Se3,3.751591546308528,0.0,-1.1338076044504308,FM,39.9999997,0.057526260745763745,9.999999925,695.3346033871254,28,Monoclinic,C2/c,True,24.833378692397336,"{'Na': 8.0, 'Mn': 8.0, 'Se': 12.0}","[Element Mn, Element Na, Element Se]",3,0.15107052458621212,4.2299746884139395,9.456321289477572
mp-571096,FeCl2,3.165883664980702,0.0,-1.1476262300000002,FM,3.9999998,0.06016645576596714,3.9999998,66.48222417419808,3,Trigonal,P-3m1,True,22.16074139139936,"{'Fe': 1.0, 'Cl': 2.0}","[Element Cl, Element Fe]",2,0.14286000675994484,0.42858002027983455,9.33314576211057
mp-1209403,RbFeI4,4.042650436138708,0.0,-0.9016922833333313,FM,20.000001,0.01875809844710423,5.00000025,1066.206207222859,24,Monoclinic,P2_1/c,True,44.42525863428579,"{'Rb': 4.0, 'Fe': 4.0, 'I': 16.0}","[Element Fe, Element I, Element Rb]",3,0.09099891729203662,2.1839740150088787,9.157618571720366
mp-23229,FeCl2,3.208438493348355,0.021833396666667504,-1.125792833333333,FM,3.9999999,0.06097519616693064,3.9999999,65.60044331877631,3,Trigonal,R-3m,False,21.866814439592105,"{'Fe': 1.0, 'Cl': 2.0}","[Element Cl, Element Fe]",2,0.14672637855924497,0.4401791356777349,9.087209219585752
mp-5056,Mn2SiS4,3.1592668651622566,0.0,-0.9834398043165018,FM,40.0000037,0.07146509605125541,10.000000925,559.7138450819633,28,Orthorhombic,Pnma,True,19.98978018149869,"{'Mn': 8.0, 'Si': 4.0, 'S': 16.0}","[Element Mn, Element S, Element Si]",3,0.158044102360179,4.425234866085011,9.039069091351495
mp-1213351,CsFeBr4,3.612657666493187,0.0,-1.3662226245258626,FM,20.0000006,0.02139788486612709,5.00000015,934.6718484152635,24,Orthorhombic,Pnma,True,38.94466035063598,"{'Cs': 4.0, 'Fe': 4.0, 'Br': 16.0}","[Element Br, Element Cs, Element Fe]",3,0.09276387658710679,2.226333038090563,8.983382206443471
mp-567530,KMnCl3,2.725388907978291,0.0,-1.814244070536208,FM,19.9999986,0.040950737811404216,4.99999965,488.391654678082,20,Orthorhombic,Pnma,True,24.4195827339041,"{'K': 4.0, 'Mn': 4.0, 'Cl': 12.0}","[Element Cl, Element K, Element Mn]",3,0.11160669441719684,2.232133888343937,8.960035374418506
