material_id,formula,elements,nelements,nsites,volume,density,energy_above_hull,formation_energy,band_gap,total_magnetization,mag_norm_vol,ordering,crystal_system,spacegroup_number,num_magnetic_sites,elements_list,is_re_free
mp-1094087,Sr10Fe10O29,"['Fe', 'O', 'Sr']",3,49,604.0621712817009,5.219253513484607,0.0048187093877878,-2.2502026578571432,0.0,43.3611615,0.0717826137134132,FM,Orthorhombic,47,10,"['Fe', 'O', 'Sr']",True
mp-1094111,Sr5Fe5O14,"['Fe', 'O', 'Sr']",3,48,604.0456838077852,5.175413159711726,0.0151288245833587,-2.273265949166667,0.0,42.785552,0.0708316492393229,FM,Orthorhombic,47,10,"['Fe', 'O', 'Sr']",True
mp-1094099,Sr10Fe10O27,"['Fe', 'O', 'Sr']",3,47,602.5786971023934,5.143922888697635,0.0301541632446813,-2.2921960784042548,0.0,42.4366177,0.0704250215018619,FM,Orthorhombic,25,10,"['Fe', 'O', 'Sr']",True
mp-27908,Fe12N5,"['Fe', 'N']",2,34,330.4466184121488,7.438944422764716,0.0263151192647068,-0.1589874358823522,0.0,41.8148075,0.1265402796401038,FM,Trigonal,162,24,"['Fe', 'N']",True
mp-504445,BaFe4O7,"['Ba', 'Fe', 'O']",3,24,316.01447735674276,4.967756375931925,0.0698902479166534,-1.86003822,0.0,40.0010106,0.1265796774077651,FM,Hexagonal,176,22,"['Ba', 'Fe', 'O']",True
mp-19154,Ba(FeO2)2,"['Ba', 'Fe', 'O']",3,28,442.3569297073226,4.7000323723764375,0.0,-2.089097835714285,1.7417999999999998,40.0000002,0.090424717041203,FM,Orthorhombic,36,24,"['Ba', 'Fe', 'O']",True
mp-684744,Fe2N,"['Fe', 'N']",2,18,187.7986526344267,6.668555229433646,0.057325703611113,-0.1524421605555533,0.0,38.080029,0.2027705122790603,FM,Orthorhombic,18,14,"['Fe', 'N']",True
mp-757601,Ba8Fe8O21,"['Ba', 'Fe', 'O']",3,37,544.0417550294887,5.7423486334552205,0.0407930762548245,-2.2210755995945957,0.0,38.0004733,0.0698484499557212,FM,Triclinic,2,13,"['Ba', 'Fe', 'O']",True
mp-690536,Sr4Fe4O11,"['Fe', 'O', 'Sr']",3,38,489.6090791568992,5.086347127412946,0.0230884647368574,-2.282519960789473,0.0,35.9970491,0.0735220212051346,FM,Orthorhombic,58,8,"['Fe', 'O', 'Sr']",True
mp-758049,Sr12Fe8O27,"['Fe', 'O', 'Sr']",3,47,597.709811397985,5.3623774429935205,0.0,-2.4329524835106375,0.0,33.6916304,0.0563678724316044,FM,Triclinic,2,10,"['Fe', 'O', 'Sr']",True
mp-19004,Sr8Fe8O23,"['Fe', 'O', 'Sr']",3,39,455.1332121695886,5.5300059297066735,0.0006412341025656,-2.262595125512822,0.0,33.6440813,0.0739213935621639,FM,Tetragonal,139,9,"['Fe', 'O', 'Sr']",True
mp-754025,Ba3Fe3O8,"['Ba', 'Fe', 'O']",3,28,417.46340875804265,5.6285172048667,0.0380647957397952,-2.211765808571428,0.0,28.0089601,0.067093209877548,FM,Orthorhombic,38,9,"['Ba', 'Fe', 'O']",True
mp-1173217,Sr4Fe3O10,"['Fe', 'O', 'Sr']",3,34,492.3056251877527,4.573827216172903,0.0692845108823529,-2.2734824067647064,0.2162999999999999,23.9997266,0.0487496493480998,FM,Triclinic,2,6,"['Fe', 'O', 'Sr']",True
mp-1192651,BaFeO3,"['Ba', 'Fe', 'O']",3,30,377.7430168733332,6.361031518317205,0.0,-2.150281130333332,0.0,20.0075123,0.0529659355865975,FM,Hexagonal,194,6,"['Ba', 'Fe', 'O']",True
mp-1076863,Ba2Fe2O5,"['Ba', 'Fe', 'O']",3,18,281.6247534547258,5.499356433977036,0.0364279750793645,-2.2628924788888884,0.8776000000000002,20.0000653,0.071016716587078,FM,Orthorhombic,46,14,"['Ba', 'Fe', 'O']",True
mp-1218842,Sr2Fe2O5,"['Fe', 'O', 'Sr']",3,18,254.21679371913635,4.793519814546724,0.0166127264583462,-2.3555478738888898,0.6806261174796835,20.0000053,0.0786730294541296,FM,Monoclinic,12,14,"['Fe', 'O', 'Sr']",True
mp-19285,Ba(FeO2)2,"['Ba', 'Fe', 'O']",3,14,242.60191000364992,4.284986646927439,0.0354334707142864,-2.053664364999999,1.7500000000000002,20.0000001,0.0824395821933104,FM,Hexagonal,182,12,"['Ba', 'Fe', 'O']",True
mp-542018,Sr2Fe2O5,"['Fe', 'O', 'Sr']",3,18,243.49371122627883,5.004618935520591,0.0008685792361244,-2.3712920211111115,0.3776999999999999,19.0118577,0.0780794608791036,FM,Orthorhombic,46,10,"['Fe', 'O', 'Sr']",True
mp-2767689,Sr2Fe2O5,"['Fe', 'O', 'Sr']",3,18,243.81641216489697,4.997995118798907,0.0312044612500006,-2.3153956965277778,0.0,18.847858,0.0773034835212524,FM,Orthorhombic,69,10,"['Fe', 'O', 'Sr']",True
mp-1084832,Fe5Co3,"['Co', 'Fe']",2,8,85.09936332657782,8.898381964087266,0.0510832340625002,-0.0019012150000001,0.0,17.8997504,0.2103394161870261,FM,Cubic,229,8,"['Co', 'Fe']",True
mp-1225009,Fe3Ni2,"['Fe', 'Ni']",2,10,113.7703718795886,8.317170325992278,0.0216178950000003,-0.0321607889999981,0.0,17.6999576,0.1555761601863545,FM,Tetragonal,123,10,"['Fe', 'Ni']",True
mp-21059,Sr4Fe4O11,"['Fe', 'O', 'Sr']",3,19,229.53961905854135,5.424601085292088,0.0099283963158036,-2.295680029210527,0.0,17.4360051,0.0759607651677471,FM,Orthorhombic,65,7,"['Fe', 'O', 'Sr']",True
mp-30093,Ba3FeO5,"['Ba', 'Fe', 'O']",3,36,638.7950504112189,5.696233831288211,0.0041776894444529,-2.484196669444442,0.0,16.0000003,0.0250471575972608,FM,Orthorhombic,62,4,"['Ba', 'Fe', 'O']",True
mp-21476,Fe2N,"['Fe', 'N']",2,12,112.83708126722532,7.399137901839459,0.0568409724999998,-0.1529268916666666,0.0,12.0003146,0.1063508065365531,FM,Orthorhombic,60,8,"['Fe', 'N']",True
mp-1221635,MnFe4,"['Fe', 'Mn']",2,5,56.393298444827366,8.195264331985987,0.0355511324137935,0.0355511324137935,0.0,9.5746914,0.1697842059968782,FM,Orthorhombic,69,5,"['Fe', 'Mn']",True
mp-607225,Mn2Ga5,"['Ga', 'Mn']",2,14,211.4802801066189,7.200126340979699,0.0322265842857145,-0.1459564284236449,0.0,9.0532129,0.0428087805417875,FM,Tetragonal,127,4,"['Ga', 'Mn']",True
mp-248,Fe2N,"['Fe', 'N']",2,9,84.50293132536206,7.410072452303377,0.0604055013888888,-0.1493623627777777,0.0,8.9916732,0.1064066424557429,FM,Trigonal,162,6,"['Fe', 'N']",True
mp-1007853,Fe3Ni,"['Fe', 'Ni']",2,4,46.43039864620607,8.090843663905464,0.0591045499999998,0.0254928725,0.0,8.5136151,0.183362955051769,FM,Cubic,225,4,"['Fe', 'Ni']",True
mp-11798,Fe3Pt,"['Fe', 'Pt']",2,4,52.619039634623554,11.443443681486134,0.0426997200000007,-0.0732982249999985,0.0,8.4745814,0.1610554175607509,FM,Tetragonal,123,4,"['Fe', 'Pt']",True
mp-1649,Fe3Pt,"['Fe', 'Pt']",2,4,52.77041133042783,11.41061821296627,0.0430791175000004,-0.0729188274999987,0.0,8.3857695,0.1589104441026917,FM,Cubic,221,4,"['Fe', 'Pt']",True
mp-1007862,Fe3Ni,"['Fe', 'Ni']",2,4,46.4187320995087,8.092877157737732,0.0763760375000002,0.0427643600000005,0.0,8.1735649,0.1760833295161569,FM,Tetragonal,139,4,"['Fe', 'Ni']",True
mp-999189,Fe3Ni,"['Fe', 'Ni']",2,4,46.06103922503529,8.15572342742715,0.0776360924999997,0.0440244149999999,0.0,8.1586136,0.1771261295286971,FM,Cubic,221,4,"['Fe', 'Ni']",True
mp-1224780,Fe3Ni,"['Fe', 'Ni']",2,4,45.99259718762883,8.167860039882836,0.0395973974999996,0.0059857199999999,0.0,8.0058738,0.1740687477886861,FM,Orthorhombic,65,4,"['Fe', 'Ni']",True
mp-1214471,BaFeO4,"['Ba', 'Fe', 'O']",3,24,383.391123351032,4.455399638948153,0.0652769340624965,-1.7322188108333323,1.4123,8.0009063,0.0208687833721032,FM,Orthorhombic,62,4,"['Ba', 'Fe', 'O']",True
mp-1078584,Mn3Ga,"['Ga', 'Mn']",2,8,95.85082097888105,8.126337819597271,0.0973802435344808,-0.0389403675862087,0.0,7.7642089,0.0810030505811807,FM,Hexagonal,194,6,"['Ga', 'Mn']",True
mp-535,Fe4N,"['Fe', 'N']",2,5,49.57942539378047,7.950674834594608,0.0699922310000005,-0.056231034999999,0.0,7.2631405,0.1464950519759579,FM,Cubic,221,4,"['Fe', 'N']",True
mp-19218,Sr3Fe2O5,"['Fe', 'O', 'Sr']",3,10,143.51769194779106,5.259233491818961,0.019960033500002,-2.4403017864999996,0.0,7.2234562,0.0503314685594843,FM,Orthorhombic,71,2,"['Fe', 'O', 'Sr']",True
mp-1225083,FeCo3,"['Co', 'Fe']",2,4,42.95434444910822,8.993628642683197,0.0814293899999993,0.0537423274999993,0.0,7.1199937,0.1657572427495822,FM,Tetragonal,123,4,"['Co', 'Fe']",True
mp-1224697,Fe2Ni,"['Fe', 'Ni']",2,3,34.40049961236216,8.224540212600596,0.0893294866666671,0.0445139166666675,0.0,5.6758261,0.1649925484791603,FM,Trigonal,164,3,"['Fe', 'Ni']",True
mp-1210627,Mn3Ga,"['Ga', 'Mn']",2,4,48.93720922949029,7.958322142027074,0.0505323135344824,-0.0857882975862072,0.0,5.0368594,0.1029249415588805,FM,Tetragonal,139,3,"['Ga', 'Mn']",True
mp-1007855,FeNi3,"['Fe', 'Ni']",2,4,44.20546592147309,8.712064167612578,0.0170325225,-0.0727268324999999,0.0,4.4393089,0.1004244341160439,FM,Tetragonal,139,4,"['Fe', 'Ni']",True
mp-1225078,FeNi3,"['Fe', 'Ni']",2,4,44.1881466347491,8.71547881042446,0.0787009599999999,-0.011058395,0.0,4.2694051,0.0966187863747737,FM,Trigonal,166,4,"['Fe', 'Ni']",True
mp-999550,Mn3Ga,"['Ga', 'Mn']",2,4,47.77459938194109,8.151990405329917,0.0862231960344814,-0.0500974150862081,0.0,3.9979861,0.083684345901836,FM,Cubic,225,3,"['Ga', 'Mn']",True
mp-1224965,FeNi,"['Fe', 'Ni']",2,2,22.488644275324734,8.457401244959666,0.0832319649999995,0.01600861,0.0,3.2573547,0.144844422817167,FM,Orthorhombic,65,2,"['Fe', 'Ni']",True
mp-1224976,FeNi,"['Fe', 'Ni']",2,2,22.647928893243012,8.397919694472863,0.0686473549999995,0.001424,0.0,3.1659732,0.1397908486433196,FM,Trigonal,166,2,"['Fe', 'Ni']",True
mp-973149,Mn3Al,"['Al', 'Mn']",2,4,46.69059768899607,6.821163682333579,0.0689959435344826,-0.0671469284482766,0.0,2.9960903,0.0641690286330627,FM,Cubic,225,3,"['Al', 'Mn']",True
mp-12067,MnAl,"['Al', 'Mn']",2,2,25.61753612858791,5.310060592659984,0.0476959400000005,-0.2245898039655172,0.0,1.9212481,0.0749973803240188,FM,Cubic,221,1,"['Al', 'Mn']",True
