entry_id,reduced_formula,nelem,spacegroup_symbol,crystal_system,magnetic_ordering,magnetic_polarization_T,total_magnetic_moment_uB,mae_energy_da_meV_cell,mae_constant_da_MJ_m3,easy_axis,kappa,curie_temperature_K,formation_energy_meV_atom,above_hull_meV_atom,formula_key,formula_parse_status
MMD-1110,ZnFe,2,P4/mmm,tetragonal,Ferromagnetic,1.06,2.34,,,ab plane,0.683,,-13.240251,15.576793,Fe1Zn1,ok
MMD-1111,Zn13Fe,2,C2/m,monoclinic,Ferromagnetic,0.11,4.02,,,,,,74.099247,105.282807,Fe1Zn13,ok
MMD-1112,Zn10Fe3,2,Fmm2,orthorhombic,Ferromagnetic,0.39,48.69,,,,,,-35.033585,0.0,Fe3Zn10,ok
MMD-1113,Zn9Fe4,2,Cm,monoclinic,Ferromagnetic,0.61,38.03,,,,,,45.055783,84.956306,Fe4Zn9,ok
MMD-1114,VFe4,2,Fmmm,orthorhombic,Ferromagnetic,1.58,31.74,,,c,0.464,,-49.26875,57.847695,Fe4V1,ok
MMD-1115,VFe,2,Cmmm,orthorhombic,Ferromagnetic,0.6,2.51,,,c,1.385,,-110.245797,44.457088,Fe1V1,ok
MMD-1116,VFe3,2,Cmmm,orthorhombic,Ferromagnetic,1.41,11.46,,,c,0.502,,-60.927175,72.968381,Fe3V1,ok
MMD-1117,Ti4Fe,2,Fmmm,orthorhombic,Ferromagnetic,0.0,0.02,,,,,,2.302758,170.977737,Fe1Ti4,ok
MMD-1118,Nb19Fe20,2,P-3m1,trigonal,Ferromagnetic,0.53,25.69,,,,,,-127.697199,0.0,Fe20Nb19,ok
MMD-1119,MnFe3,2,P-6m2,hexagonal,Ferromagnetic,0.0,0.0,,,,,,56.065444,56.065444,Fe3Mn1,ok
MMD-1120,MnFe4,2,Fmmm,orthorhombic,Ferromagnetic,1.97,38.06,,,a,0.332,,34.476247,34.476247,Fe4Mn1,ok
MMD-1121,Mn7Fe3,2,P2_1,monoclinic,Ferromagnetic,0.01,0.24,,,,,,87.887717,87.887717,Fe3Mn7,ok
