entry_id,reduced_formula,nelem,spacegroup_symbol,crystal_system,magnetic_ordering,magnetic_polarization_T,total_magnetic_moment_uB,mae_energy_da_meV_cell,mae_constant_da_MJ_m3,easy_axis,kappa,curie_temperature_K,formation_energy_meV_atom,above_hull_meV_atom,formula_key,formula_parse_status
MMD-1,Fe,1,Im-3m,cubic,Ferromagnetic,2.18,4.46,0.001,0.009,a,0.049,953.2,0.0,0.0,Fe1,ok
MMD-2,Co,1,P6_3/mmc,hexagonal,Ferromagnetic,1.72,3.23,,,c,0.307,1474.2,0.0,0.0,Co1,ok
MMD-3,Ni,1,Fm-3m,cubic,Ferromagnetic,0.68,2.59,0.001,0.002,a,0.073,401.8,0.0,0.0,Ni1,ok
MMD-4,FeCo5N2,3,C2,monoclinic,Ferromagnetic,0.95,12.74,,,b,0.632,,40.236808,73.484,Co5Fe1N2,ok
MMD-5,FeCo5N2,3,Amm2,orthorhombic,Ferromagnetic,1.25,17.02,,,c,0.715,,62.982214,96.23,Co5Fe1N2,ok
MMD-6,FeCo5N2,3,Cmmm,orthorhombic,Ferromagnetic,1.26,17.16,,,c,0.736,,66.101168,99.349,Co5Fe1N2,ok
MMD-7,FeCo2N,3,C222_1,orthorhombic,Ferromagnetic,1.17,15.78,,,a,1.231,,16.372598,82.867,Co2Fe1N1,ok
MMD-8,FeCo2N,3,Cc,monoclinic,Ferromagnetic,1.09,14.72,,,b,0.938,,17.715421,84.21,Co2Fe1N1,ok
MMD-9,FeCo2N,3,Amm2,orthorhombic,Ferromagnetic,1.33,18.16,,,c,1.08,,40.047681,106.542,Co2Fe1N1,ok
MMD-10,Fe3Co3N2,3,P1,triclinic,Ferromagnetic,1.25,8.45,,,,,,-5.011285,78.546,Co3Fe3N2,ok
MMD-11,Fe3Co3N2,3,Amm2,orthorhombic,Ferromagnetic,1.4,19.2,,,c,1.177,,9.320304,92.878,Co3Fe3N2,ok
MMD-12,Fe3Co3N2,3,Amm2,orthorhombic,Ferromagnetic,1.59,21.89,,,c,1.053,,12.14597,95.704,Co3Fe3N2,ok
MMD-13,Fe2CoN,3,C2,monoclinic,Ferromagnetic,1.5,20.55,,,a,0.875,,-27.787176,72.833,Co1Fe2N1,ok
MMD-14,Fe2CoN,3,Cmcm,orthorhombic,Ferromagnetic,1.72,23.95,,,b,0.655,,-8.786127,91.834,Co1Fe2N1,ok
MMD-15,Fe2CoN,3,Amm2,orthorhombic,Ferromagnetic,1.62,22.36,,,c,0.987,,-1.807968,98.812,Co1Fe2N1,ok
MMD-16,Fe5CoN2,3,C2,monoclinic,Ferromagnetic,1.65,22.75,,,a,0.71,,-46.637491,45.124,Co1Fe5N2,ok
MMD-17,Fe5CoN2,3,Amm2,orthorhombic,Ferromagnetic,1.73,23.88,,,c,0.787,,-14.680516,77.08,Co1Fe5N2,ok
MMD-18,Fe5CoN2,3,Cmmm,orthorhombic,Ferromagnetic,1.77,24.79,,,a,0.744,,-8.208821,83.552,Co1Fe5N2,ok
MMD-19,FeCo7N2,3,P4/mmm,tetragonal,Ferromagnetic,1.54,13.66,,,ab plane,0.459,,35.198232,61.796,Co7Fe1N2,ok
MMD-20,FeCo7N2,3,I4/mmm,tetragonal,Ferromagnetic,1.55,27.32,,,c,0.925,,42.609134,69.207,Co7Fe1N2,ok
MMD-21,FeCo3N,3,Pm-3m,cubic,Ferromagnetic,1.66,7.42,0.001,0.003,a,0.034,,-4.46633,48.73,Co3Fe1N1,ok
MMD-22,FeCo3N,3,I4mm,tetragonal,Ferromagnetic,1.65,29.35,,,c,0.769,,11.259832,64.456,Co3Fe1N1,ok
MMD-23,Fe3Co5N2,3,Pmmm,orthorhombic,Ferromagnetic,1.73,15.5,,,a,0.175,,-24.325672,42.52,Co5Fe3N2,ok
MMD-24,Fe3Co5N2,3,I4/mmm,tetragonal,Ferromagnetic,1.73,31.02,,,c,0.627,,-10.566935,56.279,Co5Fe3N2,ok
MMD-25,Fe3Co5N2,3,I-4m2,tetragonal,Ferromagnetic,1.7,30.29,,,c,0.832,,1.585935,68.432,Co5Fe3N2,ok
MMD-26,Fe2Co2N,3,P4/mmm,tetragonal,Ferromagnetic,1.78,8.02,,,ab plane,0.35,,-39.651051,40.845,Co2Fe2N1,ok
MMD-27,Fe2Co2N,3,Imm2,orthorhombic,Ferromagnetic,1.77,31.7,,,c,0.61,,-18.521705,61.975,Co2Fe2N1,ok
MMD-28,Fe5Co3N2,3,Pmmm,orthorhombic,Ferromagnetic,1.82,16.54,,,a,0.489,,-38.48228,55.664,Co3Fe5N2,ok
MMD-29,Fe5Co3N2,3,I4/mmm,tetragonal,Ferromagnetic,1.86,33.54,,,c,0.86,,-25.059325,69.087,Co3Fe5N2,ok
MMD-30,Fe3CoN,3,Pmm2,orthorhombic,Ferromagnetic,1.92,17.63,,,c,0.28,,-36.257122,54.105,Co1Fe3N1,ok
MMD-31,Fe3CoN,3,I4mm,tetragonal,Ferromagnetic,1.91,34.63,,,c,0.579,,-32.954359,57.408,Co1Fe3N1,ok
MMD-32,Fe7CoN2,3,P4/mmm,tetragonal,Ferromagnetic,2.01,18.67,,,c,0.516,,-36.531128,37.446,Co1Fe7N2,ok
MMD-33,Fe7CoN2,3,I4mm,tetragonal,Ferromagnetic,2.0,36.61,,,c,0.529,,-31.503699,42.474,Co1Fe7N2,ok
MMD-34,FeCo4N,3,Amm2,orthorhombic,Ferromagnetic,1.57,33.84,,,c,0.745,,13.651115,57.981,Co4Fe1N1,ok
MMD-35,FeCo4N,3,Amm2,orthorhombic,Ferromagnetic,1.56,33.45,,,c,0.719,,25.284164,69.614,Co4Fe1N1,ok
MMD-36,FeCo4N,3,I4/m,tetragonal,Ferromagnetic,1.46,15.36,,,ab plane,1.061,,27.676103,72.006,Co4Fe1N1,ok
MMD-37,Fe2Co3N,3,Amm2,orthorhombic,Ferromagnetic,1.68,36.52,,,c,0.79,,-12.496149,54.584,Co3Fe2N1,ok
MMD-38,Fe2Co3N,3,Amm2,orthorhombic,Ferromagnetic,1.68,36.49,,,c,0.765,,-10.390259,56.69,Co3Fe2N1,ok
MMD-39,Fe2Co3N,3,Amm2,orthorhombic,Ferromagnetic,1.67,36.31,,,c,0.792,,-9.368959,57.711,Co3Fe2N1,ok
MMD-40,Fe2Co3N,3,Amm2,orthorhombic,Ferromagnetic,1.68,36.64,,,c,0.724,,-9.43485,57.645,Co3Fe2N1,ok
MMD-41,Fe2Co3N,3,Amm2,orthorhombic,Ferromagnetic,1.67,36.34,,,c,0.79,,-8.348123,58.732,Co3Fe2N1,ok
MMD-42,Fe3Co2N,3,Amm2,orthorhombic,Ferromagnetic,1.74,37.78,,,c,0.613,,-18.452861,71.378,Co2Fe3N1,ok
MMD-43,Fe3Co2N,3,Amm2,orthorhombic,Ferromagnetic,1.78,38.6,,,c,0.812,,-14.311513,75.519,Co2Fe3N1,ok
MMD-44,Fe3Co2N,3,Amm2,orthorhombic,Ferromagnetic,1.77,38.45,,,c,0.597,,-13.684103,76.147,Co2Fe3N1,ok
MMD-45,Fe4CoN,3,Amm2,orthorhombic,Ferromagnetic,1.99,44.35,,,c,0.596,,-18.243832,59.774,Co1Fe4N1,ok
MMD-46,Fe4CoN,3,Amm2,orthorhombic,Ferromagnetic,1.98,21.92,,,c,0.536,,-13.854208,64.164,Co1Fe4N1,ok
MMD-47,Fe4CoN,3,Amm2,orthorhombic,Ferromagnetic,1.97,43.83,,,c,0.691,,-12.71104,65.307,Co1Fe4N1,ok
MMD-48,FeCo5N,3,P4mm,tetragonal,Ferromagnetic,1.64,20.85,,,c,0.496,,14.798541,52.796,Co5Fe1N1,ok
MMD-49,FeCo5N,3,P4/mmm,tetragonal,Ferromagnetic,1.63,20.59,,,ab plane,0.071,,21.60106,59.598,Co5Fe1N1,ok
MMD-50,FeCo5N,3,P4mm,tetragonal,Ferromagnetic,1.61,20.41,,,ab plane,0.459,,23.885866,61.883,Co5Fe1N1,ok
MMD-51,Fe2Co4N,3,P4/mmm,tetragonal,Ferromagnetic,1.72,21.94,,,c,0.481,,-16.520702,40.977,Co4Fe2N1,ok
MMD-52,Fe2Co4N,3,Pmm2,orthorhombic,Ferromagnetic,1.71,21.86,,,c,0.622,,-11.91938,45.578,Co4Fe2N1,ok
MMD-53,Fe3Co3N,3,Pmmm,orthorhombic,Ferromagnetic,1.74,22.29,,,c,0.541,,-19.362583,57.635,Co3Fe3N1,ok
MMD-54,Fe3Co3N,3,Pmm2,orthorhombic,Ferromagnetic,1.76,22.47,,,c,0.597,,-17.530429,59.467,Co3Fe3N1,ok
MMD-55,Fe3Co3N,3,P4/mmm,tetragonal,Ferromagnetic,1.86,24.11,,,c,0.705,,-11.12921,65.868,Co3Fe3N1,ok
MMD-56,Fe4Co2N,3,P4mm,tetragonal,Ferromagnetic,1.97,25.64,,,c,0.715,,-19.177254,66.038,Co2Fe4N1,ok
MMD-57,Fe4Co2N,3,P4/mmm,tetragonal,Ferromagnetic,2.02,26.47,,,c,0.751,,-20.07866,65.137,Co2Fe4N1,ok
MMD-58,Fe5CoN,3,P4/mmm,tetragonal,Ferromagnetic,2.11,27.78,,,c,0.437,,-22.266263,45.013,Co1Fe5N1,ok
MMD-59,Fe5CoN,3,P4/mmm,tetragonal,Ferromagnetic,2.12,27.87,,,c,0.634,,-15.332118,51.947,Co1Fe5N1,ok
MMD-60,Fe5CoN,3,P4mm,tetragonal,Ferromagnetic,2.05,26.83,,,c,0.676,,-10.381042,56.898,Co1Fe5N1,ok
MMD-61,FeCo6N,3,Amm2,orthorhombic,Ferromagnetic,1.65,47.81,,,c,0.287,,19.023991,52.271,Co6Fe1N1,ok
MMD-62,FeCo6N,3,Cmmm,orthorhombic,Ferromagnetic,1.63,47.22,,,c,0.491,,21.442809,54.69,Co6Fe1N1,ok
MMD-63,Fe2Co5N,3,Cmmm,orthorhombic,Ferromagnetic,1.74,51.01,,,c,0.185,,-6.515149,43.795,Co5Fe2N1,ok
MMD-64,Fe2Co5N,3,Amm2,orthorhombic,Ferromagnetic,1.73,50.54,,,c,0.811,,3.829078,54.139,Co5Fe2N1,ok
MMD-65,Fe3Co4N,3,Amm2,orthorhombic,Ferromagnetic,1.75,51.59,,,c,0.376,,-7.170565,60.202,Co4Fe3N1,ok
MMD-66,Fe3Co4N,3,Amm2,orthorhombic,Ferromagnetic,1.79,52.65,,,c,0.729,,-6.528763,60.844,Co4Fe3N1,ok
MMD-67,Fe3Co4N,3,Amm2,orthorhombic,Ferromagnetic,1.78,52.09,,,c,0.869,,-5.338681,62.034,Co4Fe3N1,ok
MMD-68,Fe3Co4N,3,Amm2,orthorhombic,Ferromagnetic,1.84,54.47,,,c,0.826,,-6.902542,60.47,Co4Fe3N1,ok
MMD-69,Fe4Co3N,3,Amm2,orthorhombic,Ferromagnetic,1.99,59.0,,,c,0.717,,-17.733197,66.703,Co3Fe4N1,ok
MMD-70,Fe4Co3N,3,Amm2,orthorhombic,Ferromagnetic,1.94,28.88,,,c,0.709,,-17.059805,67.376,Co3Fe4N1,ok
MMD-71,Fe4Co3N,3,Amm2,orthorhombic,Ferromagnetic,1.96,58.18,,,c,0.698,,-16.020163,68.416,Co3Fe4N1,ok
MMD-72,Fe4Co3N,3,Amm2,orthorhombic,Ferromagnetic,1.96,58.1,,,c,0.754,,-14.280836,70.155,Co3Fe4N1,ok
MMD-73,Fe5Co2N,3,Amm2,orthorhombic,Ferromagnetic,2.09,62.34,,,c,0.491,,-23.782776,55.922,Co2Fe5N1,ok
MMD-74,Fe5Co2N,3,Amm2,orthorhombic,Ferromagnetic,2.08,31.37,,,c,0.594,,-23.423267,56.282,Co2Fe5N1,ok
MMD-75,Fe5Co2N,3,Amm2,orthorhombic,Ferromagnetic,2.05,61.25,,,c,0.659,,-19.919927,59.785,Co2Fe5N1,ok
MMD-76,Fe6CoN,3,Amm2,orthorhombic,Ferromagnetic,2.17,65.2,,,c,0.246,,-23.663395,35.561,Co1Fe6N1,ok
MMD-77,Fe6CoN,3,Amm2,orthorhombic,Ferromagnetic,2.12,63.44,,,c,0.452,,-18.27865,40.946,Co1Fe6N1,ok
MMD-78,Fe6CoN,3,Amm2,orthorhombic,Ferromagnetic,2.1,63.46,,,c,0.567,,-16.69308,42.531,Co1Fe6N1,ok
MMD-79,FeCo7N,3,P4/nmm,tetragonal,Ferromagnetic,1.53,24.67,,,ab plane,0.306,,7.932947,37.486,Co7Fe1N1,ok
MMD-80,FeCo7N,3,F-43m,cubic,Ferromagnetic,1.53,49.18,-0.013,-0.005,<111>,0.054,,8.015534,37.569,Co7Fe1N1,ok
MMD-81,FeCo7N,3,Cmmm,orthorhombic,Ferromagnetic,1.55,25.12,,,a,0.654,,19.848025,49.401,Co7Fe1N1,ok
MMD-82,Fe2Co6N,3,Fm-3m,cubic,Ferromagnetic,1.57,50.77,-0.009,-0.004,<111>,0.044,,-27.713345,17.007,Co6Fe2N1,ok
MMD-83,Fe2Co6N,3,P4/mmm,tetragonal,Ferromagnetic,1.66,13.63,,,c,0.685,,-8.283657,36.436,Co6Fe2N1,ok
MMD-84,Fe3Co5N,3,I4mm,tetragonal,Ferromagnetic,1.57,25.37,,,c,0.426,,-15.159176,44.728,Co5Fe3N1,ok
MMD-85,Fe3Co5N,3,Pmmm,orthorhombic,Ferromagnetic,1.7,14.05,,,c,0.051,,-12.377521,47.51,Co5Fe3N1,ok
MMD-86,Fe4Co4N,3,P4/mmm,tetragonal,Ferromagnetic,1.97,16.59,,,c,0.731,,-18.781724,56.272,Co4Fe4N1,ok
MMD-87,Fe4Co4N,3,P4/mmm,tetragonal,Ferromagnetic,2.0,16.73,,,c,0.589,,-14.298056,60.756,Co4Fe4N1,ok
MMD-88,Fe4Co4N,3,P4/mmm,tetragonal,Ferromagnetic,1.78,14.82,,,c,0.725,,-9.680962,65.373,Co4Fe4N1,ok
MMD-89,Fe5Co3N,3,I-4m2,tetragonal,Ferromagnetic,2.03,34.33,,,c,0.58,,-19.657697,62.699,Co3Fe5N1,ok
MMD-90,Fe5Co3N,3,P4mm,tetragonal,Ferromagnetic,2.05,17.35,,,c,0.661,,-17.368062,64.988,Co3Fe5N1,ok
MMD-91,Fe5Co3N,3,P4/nmm,tetragonal,Ferromagnetic,2.01,33.92,,,c,0.785,,-15.296352,67.06,Co3Fe5N1,ok
MMD-92,Fe5Co3N,3,P4/mmm,tetragonal,Ferromagnetic,2.01,33.9,,,c,0.806,,-13.668649,68.688,Co3Fe5N1,ok
MMD-93,Fe6Co2N,3,I4/mmm,tetragonal,Ferromagnetic,2.07,35.2,,,c,0.48,,-22.634049,50.716,Co2Fe6N1,ok
MMD-94,Fe6Co2N,3,P4/mmm,tetragonal,Ferromagnetic,2.15,18.37,,,c,0.256,,-22.76638,50.583,Co2Fe6N1,ok
MMD-95,Fe6Co2N,3,Pmmm,orthorhombic,Ferromagnetic,2.08,35.32,,,c,0.679,,-17.100657,56.249,Co2Fe6N1,ok
MMD-96,Fe6Co2N,3,Pmm2,orthorhombic,Ferromagnetic,2.08,35.35,,,c,0.763,,-16.233611,57.116,Co2Fe6N1,ok
MMD-97,Fe6Co2N,3,I4/mmm,tetragonal,Ferromagnetic,2.08,35.46,,,c,0.885,,-15.999547,57.35,Co2Fe6N1,ok
MMD-98,Fe7CoN,3,P4/nmm,tetragonal,Ferromagnetic,2.11,36.17,,,c,0.574,,-23.519864,29.124,Co1Fe7N1,ok
MMD-99,Fe7CoN,3,I-4m2,tetragonal,Ferromagnetic,2.16,37.02,,,c,0.638,,-21.624922,31.019,Co1Fe7N1,ok
MMD-100,Fe7CoN,3,I4mm,tetragonal,Ferromagnetic,2.12,36.35,,,c,0.612,,-19.560817,33.083,Co1Fe7N1,ok
MMD-101,CoN,2,F-43m,cubic,Ferromagnetic,0.0,0.0,,,,,,85.451483,85.451483,Co1N1,ok
MMD-102,CoN,2,P6_3mc,hexagonal,Ferromagnetic,0.0,0.0,,,,,,144.382498,144.382498,Co1N1,ok
MMD-103,Co2N,2,Pnnm,orthorhombic,Ferromagnetic,0.0,0.0,,,,,,63.844044,63.844044,Co2N1,ok
MMD-104,Co2N,2,Cmcm,orthorhombic,Ferromagnetic,0.4,4.03,,,a,2.934,,97.824235,97.824235,Co2N1,ok
MMD-105,Co2N,2,P1,triclinic,Ferromagnetic,0.18,0.86,,,,,,113.214027,113.214027,Co2N1,ok
MMD-106,Co2N,2,P1,triclinic,Ferromagnetic,0.23,1.1,,,,,,122.478013,122.478013,Co2N1,ok
MMD-107,Co2N,2,Pmn2_1,orthorhombic,Ferromagnetic,0.42,1.93,,,c,1.249,,146.774278,146.774278,Co2N1,ok
MMD-108,Co2N,2,Pmma,orthorhombic,Ferromagnetic,0.65,3.12,,,b,0.289,,149.395212,149.395212,Co2N1,ok
MMD-109,Co3N,2,R-3c,trigonal,Ferromagnetic,0.81,16.15,,,c,1.289,,68.244218,68.244218,Co3N1,ok
MMD-110,Co3N,2,P6_322,hexagonal,Ferromagnetic,0.87,5.73,,,c,0.459,,68.782052,68.782052,Co3N1,ok
MMD-111,Co3N,2,Cmcm,orthorhombic,Ferromagnetic,0.69,9.42,,,b,1.547,,97.116458,97.116458,Co3N1,ok
MMD-112,Co3N,2,Cmcm,orthorhombic,Ferromagnetic,1.19,16.09,,,b,0.406,,108.9784,108.9784,Co3N1,ok
MMD-113,Co3N,2,Cmmm,orthorhombic,Ferromagnetic,1.21,16.45,,,c,0.883,,109.384794,109.384794,Co3N1,ok
MMD-114,Co3N,2,Cm,monoclinic,Ferromagnetic,0.72,9.56,,,,,,124.009246,124.009246,Co3N1,ok
MMD-115,Co3N,2,Cmcm,orthorhombic,Ferromagnetic,0.83,11.54,,,b,0.164,,127.351963,127.351963,Co3N1,ok
MMD-116,Co3N,2,Immm,orthorhombic,Ferromagnetic,0.97,6.41,,,c,0.777,,134.670086,134.670086,Co3N1,ok
MMD-117,Co4N,2,P2_1/c,monoclinic,Ferromagnetic,1.09,9.29,,,a,1.145,,68.178557,68.178557,Co4N1,ok
MMD-118,Co4N,2,C2,monoclinic,Ferromagnetic,1.06,18.0,,,b,0.325,,72.290281,72.290281,Co4N1,ok
MMD-119,Co4N,2,P2_12_12,orthorhombic,Ferromagnetic,1.12,9.59,,,b,0.322,,77.742739,77.742739,Co4N1,ok
MMD-120,Co4N,2,Pm-3m,cubic,Ferromagnetic,1.43,6.3,-0.001,-0.004,<111>,0.048,,74.572338,74.572338,Co4N1,ok
MMD-121,Co4N,2,Pmna,orthorhombic,Ferromagnetic,1.14,9.72,,,b,0.309,,79.943066,79.943066,Co4N1,ok
MMD-122,Co4N,2,I4/mmm,tetragonal,Ferromagnetic,1.43,25.18,,,c,1.135,,79.432784,79.432784,Co4N1,ok
MMD-123,Co4N,2,Cmcm,orthorhombic,Ferromagnetic,0.93,16.14,,,b,0.134,,79.370089,79.370089,Co4N1,ok
MMD-124,Co4N,2,I4/mmm,tetragonal,Ferromagnetic,1.4,12.29,,,c,1.411,,87.904346,87.904346,Co4N1,ok
MMD-125,Co4N,2,Pmma,orthorhombic,Ferromagnetic,1.23,10.63,,,b,0.394,,87.816916,87.816916,Co4N1,ok
MMD-126,Co5N,2,I4/m,tetragonal,Ferromagnetic,1.3,13.64,,,ab plane,1.345,,63.016274,63.016274,Co5N1,ok
MMD-127,Co5N,2,Cmcm,orthorhombic,Ferromagnetic,1.41,30.03,,,b,0.151,,63.162574,63.162574,Co5N1,ok
MMD-128,Co5N,2,Cmmm,orthorhombic,Ferromagnetic,1.42,30.29,,,a,0.563,,63.256941,63.256941,Co5N1,ok
MMD-129,Co5N,2,C2,monoclinic,Ferromagnetic,1.24,25.82,,,b,0.635,,69.080595,69.080595,Co5N1,ok
MMD-130,Co5N,2,C2/c,monoclinic,Ferromagnetic,1.35,28.27,,,c,0.447,,71.456122,71.456122,Co5N1,ok
MMD-131,Co5N,2,Cmcm,orthorhombic,Ferromagnetic,1.34,28.15,,,c,0.178,,79.532777,79.532777,Co5N1,ok
MMD-132,Co5N,2,C222_1,orthorhombic,Ferromagnetic,1.24,25.82,,,c,0.262,,81.667347,81.667347,Co5N1,ok
MMD-133,Co6N,2,C2/m,monoclinic,Ferromagnetic,1.32,16.14,,,a,0.418,,61.651188,61.651188,Co6N1,ok
MMD-134,Co6N,2,P4/mmm,tetragonal,Ferromagnetic,1.51,18.94,,,c,0.549,,62.092926,62.092926,Co6N1,ok
MMD-135,Co6N,2,P-1,triclinic,Ferromagnetic,1.45,17.96,,,,,,64.879237,64.879237,Co6N1,ok
MMD-136,Co6N,2,Cmme,orthorhombic,Ferromagnetic,1.37,33.61,,,b,0.492,,66.103065,66.103065,Co6N1,ok
MMD-137,Co6N,2,Imma,orthorhombic,Ferromagnetic,1.38,34.22,,,b,0.76,,72.646979,72.646979,Co6N1,ok
MMD-138,Co6N,2,R-3,trigonal,Ferromagnetic,1.37,25.2,,,ab plane,0.441,,78.022939,78.022939,Co6N1,ok
MMD-139,Co6N,2,Pnnm,orthorhombic,Ferromagnetic,1.37,16.9,,,b,0.195,,81.173443,81.173443,Co6N1,ok
MMD-140,Co6N,2,P-31m,trigonal,Ferromagnetic,1.41,8.7,,,c,0.582,,81.795943,81.795943,Co6N1,ok
MMD-141,Co7N,2,P-1,triclinic,Ferromagnetic,1.36,19.08,,,,,,50.630543,50.630543,Co7N1,ok
MMD-142,Co7N,2,C2/c,monoclinic,Ferromagnetic,1.35,38.13,,,c,0.325,,56.949693,56.949693,Co7N1,ok
MMD-143,Co7N,2,Cmmm,orthorhombic,Ferromagnetic,1.53,44.06,,,c,0.314,,57.08953,57.08953,Co7N1,ok
MMD-144,Co7N,2,Cmcm,orthorhombic,Ferromagnetic,1.51,43.53,,,b,0.095,,57.898312,57.898312,Co7N1,ok
MMD-145,Co7N,2,Cmcm,orthorhombic,Ferromagnetic,1.44,41.06,,,c,0.257,,69.009254,69.009254,Co7N1,ok
MMD-146,Co8N,2,Fm-3m,cubic,Ferromagnetic,1.45,46.31,0.003,0.001,a,0.029,,38.650729,38.650729,Co8N1,ok
MMD-147,Co8N,2,C2/m,monoclinic,Ferromagnetic,1.39,22.09,,,a,0.592,,41.385168,41.385168,Co8N1,ok
MMD-148,Co8N,2,C2/m,monoclinic,Ferromagnetic,1.51,24.24,,,b,0.098,,41.211091,41.211091,Co8N1,ok
MMD-149,Co8N,2,Cmmm,orthorhombic,Ferromagnetic,1.45,23.35,,,b,0.767,,43.446946,43.446946,Co8N1,ok
MMD-150,Co8N,2,P2_12_12,orthorhombic,Ferromagnetic,1.38,21.97,,,a,0.356,,44.300545,44.300545,Co8N1,ok
MMD-151,Fe3Ni3B2,3,Amm2,orthorhombic,Ferromagnetic,0.76,10.01,,,c,1.165,,18.650909,,B2Fe3Ni3,ok
MMD-152,Fe2NiB,3,Cmcm,orthorhombic,Ferromagnetic,1.12,15.11,,,b,0.878,,124.421085,,B1Fe2Ni1,ok
MMD-153,Fe4NiB,3,I4/m,tetragonal,Ferromagnetic,1.63,16.74,,,c,0.752,,148.589201,,B1Fe4Ni1,ok
MMD-154,Fe4Ni4B,3,P4/mmm,tetragonal,Ferromagnetic,1.46,11.84,,,c,0.848,,78.830943,,B1Fe4Ni4,ok
MMD-155,Fe4Ni2B,3,P4/mmm,tetragonal,Ferromagnetic,1.21,15.06,,,c,1.164,,158.389213,,B1Fe4Ni2,ok
MMD-156,Fe5NiB,3,P4/mmm,tetragonal,Ferromagnetic,1.54,18.96,,,c,0.676,,198.850485,,B1Fe5Ni1,ok
MMD-157,Fe2Ni2B,3,I4/mmm,tetragonal,Ferromagnetic,1.17,10.26,,,c,1.341,,78.022052,,B1Fe2Ni2,ok
MMD-158,Fe2Ni2B,3,I4/mmm,tetragonal,Ferromagnetic,1.11,18.69,,,c,1.138,,6.161378,,B1Fe2Ni2,ok
MMD-159,Fe3NiB,3,I4/mmm,tetragonal,Ferromagnetic,1.45,25.43,,,ab plane,0.947,,172.393289,,B1Fe3Ni1,ok
MMD-160,Fe5Ni3B2,3,I4/mmm,tetragonal,Ferromagnetic,1.04,17.43,,,c,1.152,,44.86058,,B2Fe5Ni3,ok
MMD-161,YCo5,2,R32,trigonal,Ferromagnetic,1.0,41.44,,,c,1.3,,6.525974,128.555894,Co5Y1,ok
MMD-162,YCo5,2,R3m,trigonal,Ferromagnetic,1.02,42.88,,,c,0.87,,-63.574606,58.455314,Co5Y1,ok
MMD-163,YCo5,2,P6_322,hexagonal,Ferromagnetic,1.0,27.63,,,c,1.297,,5.566806,127.596726,Co5Y1,ok
MMD-164,YCo5,2,P-62c,hexagonal,Ferromagnetic,1.0,27.65,,,c,1.36,,6.381759,128.411679,Co5Y1,ok
MMD-165,YCo5,2,P6/mmm,hexagonal,Ferromagnetic,1.01,7.17,,,c,1.826,,-106.909407,15.120513,Co5Y1,ok
MMD-166,ZrCo5,2,R32,trigonal,Ferromagnetic,0.94,36.17,,,c,1.378,,-122.863008,67.823897,Co5Zr1,ok
MMD-167,ZrCo5,2,R3m,trigonal,Ferromagnetic,0.96,37.86,,,c,0.322,,-135.442578,55.244327,Co5Zr1,ok
MMD-168,ZrCo5,2,P6_322,hexagonal,Ferromagnetic,0.94,24.36,,,c,1.219,,-127.89972,62.787186,Co5Zr1,ok
MMD-169,ZrCo5,2,P-62c,hexagonal,Ferromagnetic,0.94,24.19,,,c,1.333,,-128.157582,62.529324,Co5Zr1,ok
MMD-170,ZrCo5,2,P6/mmm,hexagonal,Ferromagnetic,0.97,6.46,,,c,1.164,,-130.754167,59.932738,Co5Zr1,ok
MMD-171,Fe8N,2,P4/mmm,tetragonal,Ferromagnetic,2.18,17.91,,,c,0.169,,70.181927,100.367117,Fe8N1,ok
MMD-172,Fe8N,2,Fm-3m,cubic,Ferromagnetic,2.07,70.7,0.021,0.008,a,0.05,,60.88389,91.06908,Fe8N1,ok
MMD-173,Fe8N,2,Fm-3m,cubic,Ferromagnetic,0.61,18.4,,,,,,78.487315,108.672505,Fe8N1,ok
MMD-174,Fe8N,2,I4/mmm,tetragonal,Ferromagnetic,2.21,38.06,,,c,0.455,,-30.174752,0.010439,Fe8N1,ok
MMD-175,Fe3N,2,P6_322,hexagonal,Ferromagnetic,1.77,12.27,,,ab plane,0.396,,-67.886576,0.030102,Fe3N1,ok
MMD-176,Fe4N,2,Pm-3m,cubic,Ferromagnetic,2.12,9.91,0.0,0.0,a,0.011,,-37.027001,17.306341,Fe4N1,ok
MMD-177,Fe5N,2,Cmcm,orthorhombic,Ferromagnetic,2.07,45.76,,,c,0.232,,-13.202472,32.075313,Fe5N1,ok
MMD-178,Fe5N,2,Cmmm,orthorhombic,Ferromagnetic,2.06,46.16,,,a,0.416,,-13.003189,32.274597,Fe5N1,ok
MMD-179,Fe6N,2,C2/m,monoclinic,Ferromagnetic,2.09,27.33,,,c,0.316,,-4.891521,33.918009,Fe6N1,ok
MMD-180,Fe6N,2,Imma,orthorhombic,Ferromagnetic,2.04,52.57,,,c,0.369,,-4.201975,34.607556,Fe6N1,ok
MMD-181,Fe7N,2,Cmcm,orthorhombic,Ferromagnetic,2.13,63.81,,,a,0.061,,-12.782674,21.175665,Fe7N1,ok
MMD-182,Fe7N,2,Cmmm,orthorhombic,Ferromagnetic,2.12,63.94,,,a,0.318,,-11.084351,22.873988,Fe7N1,ok
MMD-183,Fe8N,2,P4/mmm,tetragonal,Ferromagnetic,2.01,16.78,,,ab plane,0.279,,11.066204,41.251394,Fe8N1,ok
MMD-184,Fe8N,2,P4/mmm,tetragonal,Ferromagnetic,2.0,16.7,,,c,0.267,,11.290244,41.475434,Fe8N1,ok
MMD-185,Fe8N,2,P4/mmm,tetragonal,Ferromagnetic,2.17,18.0,,,c,0.36,,20.083759,50.268949,Fe8N1,ok
