material_id,formula,elements,nelements,nsites,volume,density,energy_above_hull,formation_energy,band_gap,total_magnetization,mag_norm_vol,ordering,crystal_system,spacegroup_number,num_magnetic_sites
mp-566548,Ba(Fe2O3)9,"['Ba', 'Fe', 'O']",3,92,1040.4493935925823,5.02581542039127,0.07351541282608665,-1.672092407934782,0.07789999999999964,176.0921336,0.16924622637528675,FM,Hexagonal,194,90
mp-19154,Ba(FeO2)2,"['Ba', 'Fe', 'O']",3,28,442.3569297073226,4.7000323723764375,0.0,-2.089097835714285,1.7417999999999998,40.0000002,0.09042471704120307,FM,Orthorhombic,36,24
mp-19285,Ba(FeO2)2,"['Ba', 'Fe', 'O']",3,14,242.60191000364992,4.284986646927439,0.035433470714286486,-2.053664364999999,1.7500000000000002,20.0000001,0.08243958219331045,FM,Hexagonal,182,12
mp-558611,Ba(FeO2)2,"['Ba', 'Fe', 'O']",3,112,1871.2922290159886,4.4441843075739085,0.728589579196429,-1.3605082565178566,0.0,13.7497208,0.007347714369139573,FM,Orthorhombic,62,32
mp-1412406,Ba(FeO2)4,"['Ba', 'Fe', 'O']",3,13,211.10643350378135,3.8440756290481293,0.2539513815384513,-1.5600095046153852,0.0,17.9999986,0.08526504048810803,FM,Trigonal,162,4
mp-654312,Ba2Fe2O5,"['Ba', 'Fe', 'O']",3,126,1968.1981535928926,5.508228060959527,0.025426998650793564,-2.273893455317461,1.4173,140.0005582,0.07113133296280802,FM,Monoclinic,14,94
mp-1076863,Ba2Fe2O5,"['Ba', 'Fe', 'O']",3,18,281.6247534547258,5.499356433977036,0.03642797507936457,-2.2628924788888884,0.8776000000000002,20.0000653,0.07101671658707807,FM,Orthorhombic,46,14
mp-1196071,Ba2Fe2O5,"['Ba', 'Fe', 'O']",3,126,1993.0198226307202,5.439626929971506,0.0,-2.2993204539682544,1.6103,140.0000826,0.0702452032891497,FM,Monoclinic,14,98
mp-1048495,Ba2Fe3O7,"['Ba', 'Fe', 'O']",3,12,182.24600295692395,5.049468832625796,0.3333344804166769,-1.7848667529166657,0.0,12.3639707,0.06784220503822173,FM,Orthorhombic,25,3
mp-1412163,Ba2Fe3O8,"['Ba', 'Fe', 'O']",3,13,185.1911604736174,5.112625992296101,0.1839580528205058,-1.8004604399999993,0.0,14.1658154,0.076492934996312,FM,Tetragonal,123,7
mp-652683,Ba2Fe6O11,"['Ba', 'Fe', 'O']",3,76,1128.0587142192055,4.626406137851825,0.009605172236837767,-1.9789646417105264,1.6633,120.0000593,0.10637749417419196,FM,Orthorhombic,58,68
mp-1201385,Ba3Fe26O41,"['Ba', 'Fe', 'O']",3,140,1661.195118115374,5.037862430934868,0.050176802928556086,-1.758626668285714,0.4319000000000002,256.2355345,0.1542477049840474,FM,Hexagonal,194,134
mp-754025,Ba3Fe3O8,"['Ba', 'Fe', 'O']",3,28,417.46340875804265,5.6285172048667,0.038064795739795265,-2.2117658085714282,0.0,28.0089601,0.06709320987754808,FM,Orthorhombic,38,9
mp-1196000,Ba3Fe3O8,"['Ba', 'Fe', 'O']",3,56,840.9644113923301,5.588108002588831,0.02242287359693851,-2.2274077307142854,0.0,56.1362422,0.06675222094958676,FM,Orthorhombic,63,16
